GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
authorization-service,com.cognizant.authorization.exception,UserNotFoundException,18,0,0,0,7,0,2,0,2,0
authorization-service,com.cognizant.authorization.exception,GlobalErrorHandler,73,0,0,0,20,0,4,0,4,0
authorization-service,com.cognizant.authorization.service,CustomerDetailsService,52,0,2,0,9,0,6,0,5,0
authorization-service,com.cognizant.authorization.service,JwtUtil,268,0,6,0,65,0,14,0,11,0
authorization-service,com.cognizant.authorization,AuthorizationServiceApplication,18,0,0,0,6,0,3,0,3,0
authorization-service,com.cognizant.authorization.model,UserToken,26,0,0,0,12,0,6,0,6,0
authorization-service,com.cognizant.authorization.model,ErrorResponse,46,0,0,0,20,0,10,0,10,0
authorization-service,com.cognizant.authorization.model,MyUser,36,0,0,0,16,0,8,0,8,0
authorization-service,com.cognizant.authorization.model,JwtResponse,36,0,0,0,16,0,8,0,8,0
authorization-service,com.cognizant.authorization.model,UserLoginCredential,26,0,0,0,12,0,6,0,6,0
authorization-service,com.cognizant.authorization.config,WebSecurityConfig,136,0,0,0,29,0,7,0,7,0
authorization-service,com.cognizant.authorization.config,JwtRequestFilter,111,0,10,0,29,0,8,0,3,0
authorization-service,com.cognizant.authorization.controller,JwtAuthenticationController,158,0,2,0,37,0,7,0,6,0
